,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
12,13,Godwin Owinje,10.0,0.0,5.4,0.2,1.7,0.118,0.2,1.2,0.167,0.0,0.5,0.0,0.1,0.3,0.333,,,1.2,0.2,0.3,0.0,0.0,0.9,0.5,georgetown,1997
13,14,Joseph Touomou,29.0,0.0,10.4,0.1,0.7,0.158,0.1,0.2,0.429,0.0,0.4,0.0,0.1,0.2,0.5,,,0.7,0.8,0.5,0.0,0.5,1.0,0.3,georgetown,1997
14,15,Brendan Gaughan,8.0,1.0,2.9,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,,0.1,0.3,0.5,,,0.5,0.1,0.1,0.0,0.4,0.4,0.1,georgetown,1997
15,16,Damien Bolden,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,georgetown,1997
0,1,Michael Chadwick,33.0,33.0,27.0,4.3,9.9,0.433,2.7,5.6,0.484,1.6,4.3,0.366,2.3,3.4,0.664,,,5.5,1.6,0.4,0.1,2.0,2.0,12.4,georgia,1997
1,2,Ray Harrison,33.0,33.0,32.2,3.8,8.5,0.441,2.5,5.0,0.497,1.3,3.5,0.362,2.2,2.8,0.777,,,4.1,3.6,1.6,0.1,2.1,1.8,11.0,georgia,1997
2,3,Derrick Dukes,33.0,0.0,17.4,3.4,8.4,0.408,1.5,3.1,0.5,1.9,5.3,0.354,1.7,2.5,0.691,,,2.6,0.6,1.1,0.3,1.4,1.2,10.4,georgia,1997
3,4,G.G. Smith,33.0,33.0,28.1,2.5,6.8,0.372,0.9,2.5,0.378,1.6,4.3,0.369,2.9,3.8,0.768,,,2.4,4.5,0.8,0.1,,1.5,9.5,georgia,1997
4,5,Adrian Jones,33.0,0.0,13.9,2.1,5.5,0.385,0.9,2.4,0.392,1.2,3.1,0.379,1.5,2.3,0.645,,,2.1,1.0,0.5,0.3,0.8,1.0,6.9,georgia,1997
5,6,Lorenzo Hall,33.0,30.0,20.7,2.4,4.6,0.513,2.4,4.6,0.513,0.0,0.0,,1.2,2.3,0.506,,,5.3,0.2,0.3,0.8,1.5,2.6,5.9,georgia,1997
6,7,Larry Brown,26.0,0.0,12.3,1.5,2.4,0.603,1.5,2.4,0.603,0.0,0.0,,1.7,2.3,0.729,,,3.3,0.4,0.3,0.1,0.9,1.6,4.6,georgia,1997
7,8,Devin Baker,33.0,3.0,16.4,1.6,2.8,0.581,1.6,2.8,0.581,0.0,0.0,,0.9,1.9,0.453,,,3.5,0.7,0.4,0.7,1.2,2.5,4.2,georgia,1997
8,9,Jon Nordin,33.0,30.0,12.8,1.7,3.6,0.462,1.2,2.7,0.456,0.4,0.9,0.483,0.3,0.4,0.643,,,2.2,0.5,0.2,0.4,1.0,2.1,4.0,georgia,1997
9,10,Eric Deyoung,29.0,3.0,12.3,0.9,2.0,0.424,0.9,2.0,0.424,0.0,0.0,,0.6,0.9,0.63,,,2.7,0.4,0.1,0.6,1.0,1.4,2.3,georgia,1997
10,11,Badi Oliver,30.0,0.0,7.8,0.4,0.8,0.458,0.4,0.8,0.478,0.0,0.0,0.0,0.5,1.0,0.467,,,1.1,0.3,0.2,0.4,0.7,1.2,1.2,georgia,1997
11,12,Phenizee Ransom,14.0,0.0,2.4,0.4,1.0,0.357,0.4,0.6,0.556,0.0,0.4,0.0,0.1,0.1,1.0,,,0.6,0.1,0.2,0.0,0.2,0.5,0.9,georgia,1997
12,13,David Taylor,23.0,0.0,4.5,0.3,0.9,0.3,0.3,0.7,0.375,0.0,0.2,0.0,0.3,0.7,0.438,,,0.7,0.7,0.1,0.0,0.7,0.7,0.8,georgia,1997
0,1,Rico Hill,30.0,30.0,30.1,7.5,14.4,0.521,7.3,13.6,0.539,0.2,0.8,0.208,3.6,4.7,0.771,,,8.2,1.3,1.1,0.4,2.8,2.5,18.8,illinois state,1997
1,2,Skipp Schaefbauer,30.0,30.0,28.6,3.5,9.1,0.381,0.6,2.1,0.27,2.9,7.0,0.414,1.9,2.7,0.7,,,3.1,2.9,1.0,0.2,1.2,3.0,11.7,illinois state,1997
2,3,Dan Muller,30.0,30.0,33.6,3.5,8.8,0.398,2.1,4.4,0.466,1.4,4.4,0.328,2.6,3.2,0.814,,,5.4,2.6,0.8,0.5,1.8,2.0,11.1,illinois state,1997
3,4,Leroy Watkins,30.0,30.0,23.7,4.2,7.4,0.568,4.2,7.4,0.568,0.0,0.0,,1.4,2.9,0.5,,,5.2,0.4,0.8,1.2,2.0,3.1,9.8,illinois state,1997
4,5,Jamar Smiley,30.0,30.0,31.9,2.5,5.9,0.418,1.9,4.3,0.445,0.6,1.6,0.347,2.5,4.1,0.602,,,3.3,7.3,1.6,0.1,,1.9,8.0,illinois state,1997
5,6,Steve Hansell,22.0,0.0,17.5,1.5,3.6,0.405,0.8,2.2,0.367,0.6,1.4,0.467,1.3,1.7,0.784,,,2.2,2.0,0.4,0.2,1.8,2.0,4.9,illinois state,1997
6,7,Kyle Cartmill,30.0,0.0,15.2,1.7,4.3,0.392,0.9,1.7,0.51,0.8,2.6,0.316,0.4,0.6,0.765,,,2.2,1.1,0.6,0.2,0.8,1.5,4.7,illinois state,1997
7,8,Rob Gibbons,30.0,0.0,12.5,1.2,2.5,0.467,1.2,2.5,0.473,0.0,0.0,0.0,0.9,1.4,0.619,,,2.5,0.2,0.3,0.2,1.2,2.3,3.2,illinois state,1997
8,9,Kenneth Pierson,24.0,0.0,7.3,0.9,1.7,0.537,0.9,1.7,0.537,0.0,0.0,,0.2,0.9,0.238,,,1.3,0.2,0.6,0.8,0.7,1.1,2.0,illinois state,1997
