,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
12,13,C.B. McGrath,25.0,0.0,108.0,2.2,4.8,0.462,2.2,4.1,0.545,0.0,0.7,0.0,1.9,3.7,0.5,8.5,7.0,1.9,0.0,2.6,2.6,6.3,kansas,1997
13,14,B.J. Williams,36.0,11.0,641.0,2.4,5.7,0.424,2.4,5.7,0.429,0.0,0.1,0.0,1.4,3.2,0.451,8.7,1.2,2.3,2.2,1.8,4.2,6.3,kansas,1997
0,1,Derek Anderson,19.0,16.0,481.0,9.2,18.8,0.491,6.1,11.0,0.553,3.2,7.8,0.404,6.4,7.9,0.811,6.4,5.6,3.1,0.2,2.7,3.2,28.0,kentucky,1997
1,2,Cameron Mills,31.0,0.0,324.0,7.8,14.4,0.538,2.6,4.7,0.553,5.2,9.8,0.532,1.9,2.5,0.75,4.4,2.8,1.5,0.4,2.1,5.4,22.6,kentucky,1997
2,3,Ron Mercer,40.0,40.0,1299.0,9.1,18.6,0.493,7.6,14.2,0.537,1.5,4.3,0.348,2.5,3.2,0.781,6.5,3.0,2.0,0.3,2.1,2.9,22.3,kentucky,1997
3,4,Nazr Mohammed,39.0,12.0,617.0,8.6,16.8,0.51,8.6,16.7,0.514,0.0,0.1,0.0,2.9,5.8,0.506,14.7,0.8,2.1,3.4,3.8,6.5,20.0,kentucky,1997
4,5,Scott Padgett,32.0,25.0,759.0,5.3,12.9,0.41,2.8,5.6,0.5,2.5,7.3,0.341,3.2,4.2,0.763,8.5,3.0,2.5,0.8,3.0,4.8,16.2,kentucky,1997
5,6,Allen Edwards,38.0,18.0,907.0,5.3,12.5,0.424,3.9,7.7,0.506,1.4,4.8,0.294,2.5,3.7,0.667,10.0,4.8,2.0,0.3,3.2,3.4,14.5,kentucky,1997
6,7,Anthony Epps,40.0,37.0,1089.0,3.9,9.9,0.393,1.4,3.4,0.402,2.5,6.5,0.388,2.8,3.3,0.833,4.6,7.1,2.5,0.1,2.3,1.4,13.1,kentucky,1997
7,8,Jared Prickett,38.0,19.0,933.0,5.0,9.0,0.55,4.8,8.5,0.558,0.2,0.5,0.417,2.7,4.3,0.624,9.6,3.4,2.8,0.9,3.3,4.7,12.9,kentucky,1997
8,9,Jamaal Magloire,40.0,21.0,626.0,4.8,9.8,0.49,4.8,9.8,0.49,0.0,0.0,,2.9,5.2,0.549,11.3,1.0,1.6,5.0,4.1,7.7,12.5,kentucky,1997
9,10,Wayne Turner,40.0,10.0,908.0,4.9,10.6,0.467,4.8,9.9,0.48,0.2,0.7,0.267,1.6,3.0,0.529,4.7,5.3,3.5,0.4,3.2,3.7,11.6,kentucky,1997
10,11,Steve Masiello,23.0,0.0,79.0,3.0,12.7,0.24,2.5,8.1,0.313,0.5,4.6,0.111,3.5,5.1,0.7,4.6,2.5,0.5,0.5,3.0,1.0,10.1,kentucky,1997
11,12,Oliver Simmons,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,0.0,0.0,0.0,10.0,10.0,0.0,kentucky,1997
0,1,Charles Jones,30.0,29.0,1119.0,12.1,26.8,0.451,8.2,16.0,0.512,3.9,10.8,0.36,4.2,6.6,0.634,6.4,5.0,2.5,0.3,2.5,2.8,32.3,long island university,1997
1,2,Mike Campbell,30.0,16.0,917.0,8.5,17.9,0.478,6.6,12.3,0.541,1.9,5.6,0.341,5.5,7.5,0.723,10.0,2.4,3.8,0.5,3.4,4.2,24.5,long island university,1997
2,3,Richie Parker,29.0,29.0,981.0,7.4,17.3,0.429,6.5,13.6,0.48,0.9,3.7,0.242,3.3,6.3,0.519,8.9,2.5,2.4,0.2,2.5,2.6,19.0,long island university,1997
3,4,Jason Cragan,20.0,2.0,87.0,6.0,12.0,0.5,3.7,6.9,0.533,2.3,5.1,0.455,1.4,1.4,1.0,5.5,0.5,2.8,0.0,2.8,7.8,15.6,long island university,1997
