,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
2,3,Brady Manek,39.0,27.0,1187.0,7.4,15.0,0.493,4.1,6.8,0.602,3.3,8.2,0.403,1.8,2.6,0.697,8.0,2.4,0.8,0.9,2.0,2.2,19.8,north carolina,2022
3,4,Caleb Love,39.0,38.0,1332.0,5.9,16.0,0.371,3.2,8.3,0.38,2.8,7.7,0.36,4.0,4.6,0.863,4.0,4.2,1.1,0.3,3.2,2.0,18.6,north carolina,2022
4,5,Dawson Garcia,16.0,12.0,329.0,5.7,14.1,0.405,4.3,10.2,0.417,1.5,3.9,0.375,4.6,5.8,0.792,10.7,1.3,0.9,0.6,2.6,4.1,17.5,north carolina,2022
5,6,RJ Davis,39.0,39.0,1324.0,5.4,12.7,0.425,3.4,7.2,0.469,2.0,5.4,0.367,3.2,3.8,0.833,5.0,4.3,1.2,0.2,2.2,2.5,15.9,north carolina,2022
6,7,Dontrez Styles,30.0,0.0,175.0,5.5,12.6,0.436,4.8,8.5,0.568,0.7,4.1,0.167,1.8,3.4,0.533,9.8,0.5,1.1,0.5,2.5,3.7,13.5,north carolina,2022
7,8,Jackson Watkins,3.0,0.0,3.0,0.0,26.7,0.0,0.0,13.3,0.0,0.0,13.3,0.0,13.3,26.7,0.5,26.7,13.3,13.3,0.0,0.0,26.7,13.3,north carolina,2022
8,9,Puff Johnson,24.0,0.0,249.0,4.5,9.8,0.459,3.5,5.6,0.629,1.0,4.2,0.231,2.1,2.9,0.722,7.6,1.8,1.0,0.6,0.5,4.2,12.0,north carolina,2022
9,10,Kerwin Walton,31.0,1.0,411.0,3.7,9.9,0.373,1.5,3.6,0.405,2.2,6.3,0.354,0.7,0.7,1.0,3.7,1.3,0.7,0.4,1.8,3.2,10.3,north carolina,2022
10,11,D'Marco Dunn,23.0,0.0,94.0,3.8,13.2,0.29,2.6,6.8,0.375,1.3,6.4,0.2,0.4,1.3,0.333,3.0,3.0,0.4,0.0,2.6,3.4,9.4,north carolina,2022
11,12,Anthony Harris,14.0,0.0,164.0,3.2,6.6,0.481,2.4,5.4,0.455,0.7,1.2,0.6,2.0,2.2,0.889,1.2,2.2,0.5,0.0,2.7,4.1,9.0,north carolina,2022
12,13,Leaky Black,38.0,38.0,1129.0,2.4,5.2,0.466,1.8,3.4,0.537,0.6,1.8,0.333,1.2,1.3,0.868,5.7,3.7,1.2,0.9,1.3,2.2,6.6,north carolina,2022
13,14,Justin McKoy,30.0,0.0,210.0,1.5,6.9,0.222,1.0,4.4,0.217,0.6,2.5,0.231,2.3,2.9,0.8,8.0,2.7,0.8,0.6,2.5,5.9,5.9,north carolina,2022
14,15,Rob Landry,3.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,13.3,0.0,0.0,north carolina,2022
15,16,Creighton Lebo,5.0,0.0,8.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,10.0,0.0,0.0,north carolina,2022
16,17,Ryan McAdoo,7.0,1.0,14.0,0.0,8.6,0.0,0.0,5.7,0.0,0.0,2.9,0.0,0.0,0.0,,8.6,0.0,2.9,0.0,2.9,5.7,0.0,north carolina,2022
0,1,Elijah Taylor,3.0,0.0,11.0,14.5,14.5,1.0,14.5,14.5,1.0,0.0,0.0,,0.0,0.0,,7.3,0.0,0.0,3.6,7.3,21.8,29.1,notre dame,2022
1,2,J.R. Konieczny,7.0,0.0,22.0,9.1,10.9,0.833,7.3,9.1,0.8,1.8,1.8,1.0,0.0,0.0,,1.8,1.8,5.5,1.8,3.6,7.3,20.0,notre dame,2022
2,3,Blake Wesley,35.0,28.0,1027.0,6.9,17.2,0.404,4.8,10.2,0.471,2.1,6.9,0.303,3.7,5.6,0.657,5.0,3.3,1.7,0.1,3.0,2.6,19.6,notre dame,2022
3,4,Paul Atkinson,35.0,34.0,964.0,7.3,12.4,0.587,7.3,12.4,0.591,0.0,0.1,0.0,3.6,4.8,0.75,10.0,2.4,1.0,1.0,2.7,3.0,18.2,notre dame,2022
4,5,Elijah Morgan,6.0,0.0,14.0,0.0,5.7,0.0,0.0,5.7,0.0,0.0,0.0,,17.1,17.1,1.0,8.6,11.4,5.7,0.0,2.9,0.0,17.1,notre dame,2022
5,6,Dane Goodwin,35.0,34.0,1171.0,6.0,12.0,0.504,3.7,6.8,0.54,2.4,5.2,0.458,1.7,2.1,0.823,5.6,1.5,0.8,0.1,1.2,2.0,16.2,notre dame,2022
6,7,Tony Sanders,6.0,0.0,15.0,2.7,8.0,0.333,0.0,0.0,,2.7,8.0,0.333,8.0,10.7,0.75,2.7,0.0,0.0,0.0,0.0,0.0,16.0,notre dame,2022
7,8,Matt Zona,8.0,0.0,18.0,2.2,4.4,0.5,2.2,4.4,0.5,0.0,0.0,,8.9,11.1,0.8,15.6,0.0,2.2,6.7,2.2,4.4,13.3,notre dame,2022
8,9,Nate Laszewski,34.0,25.0,980.0,4.4,8.7,0.514,2.1,3.6,0.598,2.3,5.1,0.456,1.6,1.9,0.851,9.1,1.1,0.7,0.7,1.5,2.9,12.9,notre dame,2022
9,10,Cormac Ryan,35.0,22.0,1051.0,4.1,9.1,0.454,1.9,3.7,0.52,2.2,5.3,0.407,1.9,2.4,0.806,6.4,2.5,1.2,0.3,1.4,2.6,12.3,notre dame,2022
10,11,Prentiss Hubb,35.0,32.0,1179.0,3.6,9.9,0.366,1.9,4.3,0.437,1.8,5.6,0.313,1.5,2.0,0.733,3.8,4.7,0.9,0.2,1.8,1.7,10.5,notre dame,2022
11,12,Trey Wertz,34.0,0.0,646.0,2.9,7.6,0.385,1.3,3.5,0.375,1.6,4.1,0.394,1.1,1.3,0.81,3.7,4.3,0.8,0.0,2.0,2.9,8.5,notre dame,2022
0,1,E.J. Liddell,32.0,32.0,1062.0,7.6,15.6,0.49,5.9,11.0,0.54,1.7,4.6,0.374,6.4,8.3,0.765,9.6,3.0,0.7,3.1,2.9,3.0,23.4,ohio state,2022
1,2,Malaki Branham,32.0,31.0,948.0,6.8,13.5,0.498,5.2,9.8,0.53,1.6,3.8,0.416,3.4,4.1,0.833,4.8,2.7,1.0,0.4,2.3,2.4,18.4,ohio state,2022
2,3,Zed Key,29.0,23.0,575.0,6.6,11.8,0.562,6.6,11.8,0.562,0.0,0.0,,2.5,4.3,0.581,11.3,1.0,0.4,1.7,2.3,4.8,15.7,ohio state,2022
3,4,Justice Sueing,2.0,0.0,31.0,6.5,16.8,0.385,6.5,11.6,0.556,0.0,5.2,0.0,2.6,2.6,1.0,9.0,0.0,1.3,0.0,2.6,3.9,15.5,ohio state,2022
4,5,Kyle Young,27.0,4.0,614.0,5.0,10.0,0.5,4.0,6.7,0.602,1.0,3.3,0.294,3.4,4.3,0.788,8.8,2.1,0.8,1.0,1.9,3.3,14.4,ohio state,2022
5,6,Cedric Russell,30.0,0.0,386.0,4.8,10.9,0.438,1.8,3.9,0.447,3.0,6.9,0.433,0.6,0.9,0.667,2.0,1.3,0.4,0.0,1.6,2.3,13.2,ohio state,2022
6,7,Joey Brunk,28.0,5.0,214.0,5.4,8.6,0.63,5.4,8.6,0.63,0.0,0.0,,1.9,2.4,0.769,8.4,1.1,1.1,1.1,1.9,5.2,12.7,ohio state,2022
7,8,Meechie Johnson,26.0,5.0,461.0,3.2,10.4,0.308,0.9,3.1,0.278,2.3,7.3,0.321,1.2,1.6,0.737,3.5,2.7,1.5,0.3,3.0,3.5,10.0,ohio state,2022
8,9,Jamari Wheeler,31.0,31.0,914.0,3.3,7.3,0.458,1.7,3.0,0.559,1.7,4.3,0.388,1.4,1.6,0.861,4.3,4.0,1.7,0.1,2.2,3.3,9.7,ohio state,2022
9,10,Justin Ahrens,32.0,19.0,644.0,2.9,8.3,0.346,0.1,0.4,0.167,2.8,7.9,0.354,1.1,1.5,0.75,4.7,1.6,0.6,0.1,1.4,2.6,9.6,ohio state,2022
10,11,Jimmy Sotos,19.0,0.0,146.0,2.7,5.2,0.526,1.1,2.5,0.444,1.6,2.7,0.6,2.2,2.7,0.8,3.6,6.8,0.5,0.5,1.6,4.7,9.3,ohio state,2022
11,12,Eugene Brown,26.0,10.0,441.0,3.1,7.0,0.442,2.4,3.8,0.619,0.7,3.2,0.229,1.3,2.1,0.609,5.7,1.3,0.5,0.6,1.3,3.8,8.2,ohio state,2022
12,13,Harrison Hookfin,7.0,0.0,14.0,2.9,8.6,0.333,2.9,8.6,0.333,0.0,0.0,,0.0,0.0,,5.7,5.7,2.9,0.0,0.0,2.9,5.7,ohio state,2022
0,1,Matteus Case,4.0,0.0,6.0,13.3,13.3,1.0,13.3,13.3,1.0,0.0,0.0,,0.0,6.7,0.0,13.3,0.0,0.0,0.0,6.7,0.0,26.7,providence,2022
1,2,Nate Watson,33.0,33.0,925.0,7.8,14.3,0.548,7.8,14.3,0.548,0.0,0.0,,3.3,5.7,0.583,7.4,0.7,0.4,1.0,1.6,3.4,19.0,providence,2022
2,3,Jared Bynum,29.0,10.0,799.0,5.8,13.9,0.415,3.6,8.7,0.416,2.2,5.2,0.413,4.1,5.5,0.752,4.2,5.9,1.4,0.3,3.0,2.2,17.8,providence,2022
3,4,Aljami Durham,31.0,31.0,1064.0,4.3,11.9,0.36,3.3,7.6,0.429,1.0,4.3,0.237,6.2,7.5,0.834,3.9,4.0,0.6,0.4,2.8,2.6,15.8,providence,2022
4,5,A.J. Reeves,28.0,25.0,708.0,5.1,13.8,0.369,1.7,4.7,0.361,3.4,9.1,0.373,2.1,2.7,0.787,4.5,3.1,0.7,0.3,1.4,2.8,15.6,providence,2022
5,6,Andrew Fonts,12.0,0.0,25.0,4.8,6.4,0.75,1.6,1.6,1.0,3.2,4.8,0.667,1.6,3.2,0.5,4.8,1.6,0.0,0.0,1.6,6.4,14.4,providence,2022
6,7,Ed Croswell,33.0,0.0,487.0,6.2,9.5,0.647,6.2,9.4,0.652,0.0,0.1,0.0,2.0,3.5,0.558,12.7,0.8,1.6,1.8,2.3,6.2,14.3,providence,2022
7,8,Brycen Goodine,21.0,0.0,122.0,3.3,10.2,0.323,0.7,2.0,0.333,2.6,8.2,0.32,3.9,4.3,0.923,4.3,0.7,2.3,0.3,2.0,5.9,13.1,providence,2022
8,9,Noah Horchler,33.0,33.0,1097.0,4.1,9.3,0.445,1.9,3.7,0.51,2.2,5.5,0.401,1.5,1.9,0.769,10.2,1.9,1.0,1.0,1.8,2.7,11.9,providence,2022
9,10,Alyn Breed,33.0,8.0,430.0,2.8,9.6,0.291,2.0,5.7,0.344,0.8,3.9,0.214,3.5,4.4,0.809,3.8,2.5,1.7,0.1,2.8,4.5,10.0,providence,2022
10,11,Justin Minaya,32.0,25.0,1062.0,2.8,6.8,0.414,1.6,2.9,0.545,1.2,3.9,0.317,0.9,1.6,0.558,6.7,1.9,1.0,1.0,1.4,2.6,7.8,providence,2022
11,12,Luke Fonts,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,providence,2022
12,13,Kieran O'Haire,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,providence,2022
0,1,Zach Edey,37.0,33.0,703.0,11.9,18.4,0.648,11.9,18.4,0.648,0.0,0.0,,6.4,9.9,0.649,16.2,2.5,0.5,2.6,3.6,4.2,30.3,purdue,2022
1,2,Trevion Williams,37.0,4.0,744.0,9.8,17.9,0.547,9.5,17.2,0.555,0.3,0.8,0.357,4.0,6.7,0.597,14.8,6.0,1.9,1.2,4.2,4.2,23.8,purdue,2022
2,3,Jaden Ivey,36.0,34.0,1132.0,7.2,15.6,0.46,4.9,9.3,0.531,2.3,6.3,0.358,5.4,7.3,0.744,6.2,3.9,1.2,0.7,3.3,2.2,22.0,purdue,2022
3,4,Brandon Newman,25.0,1.0,315.0,4.4,13.8,0.321,1.0,3.2,0.32,3.4,10.7,0.321,2.4,3.0,0.792,6.0,2.0,1.3,0.6,1.8,4.2,14.7,purdue,2022
4,5,Sasha Stefanovic,37.0,37.0,1125.0,4.1,10.5,0.392,1.0,2.4,0.433,3.1,8.1,0.38,2.3,2.7,0.867,3.2,3.9,0.5,0.2,1.5,2.1,13.7,purdue,2022
5,6,Caleb Furst,34.0,12.0,498.0,3.8,6.6,0.573,2.9,4.5,0.643,0.9,2.1,0.423,2.7,3.7,0.717,8.8,1.0,0.5,0.6,1.5,3.0,11.1,purdue,2022
6,7,Mason Gillis,33.0,25.0,776.0,3.6,7.3,0.496,1.8,2.8,0.63,1.9,4.5,0.414,1.8,2.1,0.85,8.2,1.8,0.6,0.4,1.3,3.2,10.8,purdue,2022
7,8,Isaiah Thompson,37.0,20.0,605.0,3.2,7.3,0.436,0.8,1.7,0.48,2.4,5.6,0.424,1.5,1.9,0.793,2.4,2.3,0.4,0.2,1.1,2.6,10.2,purdue,2022
8,9,Eric Hunter,37.0,19.0,956.0,3.3,7.2,0.462,1.9,4.0,0.484,1.4,3.3,0.436,1.5,2.3,0.685,3.3,3.1,1.0,0.0,1.8,2.3,9.7,purdue,2022
9,10,Matt Frost,9.0,0.0,18.0,2.2,11.1,0.2,2.2,11.1,0.2,0.0,0.0,,4.4,4.4,1.0,6.7,0.0,2.2,0.0,2.2,4.4,8.9,purdue,2022
10,11,Carson Barrett,9.0,0.0,19.0,4.2,16.8,0.25,4.2,10.5,0.4,0.0,6.3,0.0,0.0,2.1,0.0,12.6,2.1,0.0,0.0,8.4,4.2,8.4,purdue,2022
11,12,Ethan Morton,37.0,0.0,548.0,2.3,4.7,0.477,1.2,2.3,0.516,1.1,2.5,0.441,0.9,1.4,0.684,3.9,3.6,1.6,0.6,1.2,2.0,6.6,purdue,2022
12,13,Chase Martin,8.0,0.0,16.0,2.5,12.5,0.2,2.5,12.5,0.2,0.0,0.0,,0.0,7.5,0.0,5.0,2.5,2.5,0.0,5.0,7.5,5.0,purdue,2022
13,14,Jared Wulbrun,10.0,0.0,20.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,purdue,2022
0,1,Grant Golden,37.0,37.0,1021.0,8.1,15.9,0.506,7.2,12.7,0.563,0.9,3.2,0.28,2.8,4.0,0.706,8.7,4.3,0.6,0.8,2.9,2.2,19.9,richmond,2022
1,2,Tyler Burton,37.0,37.0,1220.0,6.1,13.4,0.457,4.3,8.3,0.514,1.9,5.1,0.365,5.3,6.8,0.791,9.3,1.2,1.4,0.6,2.0,2.2,19.5,richmond,2022
2,3,Nick Sherod,37.0,2.0,563.0,5.4,16.2,0.333,1.4,4.5,0.317,4.0,11.7,0.339,1.1,1.4,0.75,4.8,0.9,1.1,0.0,0.7,2.2,15.8,richmond,2022
3,4,Jacob Gilyard,37.0,37.0,1426.0,4.4,11.1,0.395,1.7,3.8,0.463,2.6,7.3,0.36,2.4,2.8,0.86,3.6,5.6,3.0,0.2,1.6,1.7,13.8,richmond,2022
4,5,Nathan Cayo,37.0,37.0,985.0,5.9,10.6,0.557,5.9,10.6,0.557,0.0,0.0,,1.9,4.0,0.465,6.5,2.7,0.8,0.6,1.8,3.9,13.7,richmond,2022
5,6,Matt Grace,37.0,0.0,568.0,3.8,9.6,0.397,2.0,3.4,0.604,1.8,6.2,0.284,1.4,1.6,0.87,6.3,2.7,1.3,1.3,1.4,3.3,10.8,richmond,2022
6,7,Connor Crabtree,35.0,0.0,271.0,3.7,7.8,0.472,2.4,3.5,0.667,1.3,4.3,0.31,1.8,2.4,0.75,5.0,1.9,0.9,0.1,1.3,3.4,10.5,richmond,2022
7,8,Dji Bailey,16.0,0.0,124.0,3.9,6.5,0.6,3.9,4.8,0.8,0.0,1.6,0.0,1.9,3.2,0.6,3.5,1.3,1.9,0.3,2.3,3.5,9.7,richmond,2022
8,9,Souleymane Koureissi,14.0,0.0,60.0,2.7,8.0,0.333,2.7,6.0,0.444,0.0,2.0,0.0,3.3,6.0,0.556,3.3,2.7,0.7,0.0,5.3,4.7,8.7,richmond,2022
9,10,Andre Gustavson,28.0,20.0,687.0,2.4,6.1,0.39,1.5,3.1,0.472,0.9,3.0,0.308,1.6,2.3,0.692,4.1,1.8,1.7,0.3,1.2,2.9,7.3,richmond,2022
10,11,Marcus Randolph,9.0,0.0,28.0,2.9,10.0,0.286,1.4,5.7,0.25,1.4,4.3,0.333,0.0,0.0,,0.0,1.4,0.0,0.0,4.3,5.7,7.1,richmond,2022
11,12,Isaiah Wilson,33.0,15.0,489.0,2.0,6.4,0.321,1.3,3.4,0.39,0.7,3.0,0.243,1.5,2.4,0.621,3.0,1.8,1.6,0.1,2.4,5.2,6.3,richmond,2022
12,13,Gabe Arizin,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,richmond,2022
13,14,Jordan Gaitley,3.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,13.3,0.0,13.3,0.0,0.0,0.0,0.0,13.3,0.0,richmond,2022
14,15,Sullivan Kulju,3.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,13.3,0.0,13.3,13.3,0.0,0.0,0.0,13.3,0.0,richmond,2022
15,16,Quentin Southall,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,richmond,2022
0,1,Leemet Bockler,12.0,0.0,48.0,7.5,18.3,0.409,3.3,7.5,0.444,4.2,10.8,0.385,0.0,0.0,,8.3,2.5,1.7,0.0,2.5,4.2,19.2,saint marys ca,2022
1,2,Dan Fotu,34.0,0.0,471.0,6.6,13.2,0.5,5.4,9.4,0.568,1.3,3.8,0.333,3.7,4.8,0.754,8.6,1.4,1.3,0.6,2.6,3.9,18.2,saint marys ca,2022
2,3,Mitchell Saxen,28.0,0.0,207.0,7.5,14.3,0.527,7.5,14.3,0.527,0.0,0.0,,2.5,4.6,0.542,12.6,0.6,0.6,2.7,2.5,5.0,17.6,saint marys ca,2022
3,4,Matthias Tass,34.0,34.0,982.0,7.0,12.5,0.559,6.9,11.7,0.587,0.1,0.7,0.111,3.5,4.4,0.796,8.4,2.9,0.7,0.9,2.2,3.5,17.5,saint marys ca,2022
4,5,Tommy Kuhse,34.0,21.0,1021.0,6.3,12.9,0.494,4.4,8.6,0.516,1.9,4.3,0.45,1.6,2.0,0.808,5.0,4.9,1.3,0.3,2.8,2.5,16.3,saint marys ca,2022
5,6,Logan Johnson,34.0,34.0,1078.0,5.7,12.9,0.438,4.6,9.7,0.479,1.0,3.3,0.318,2.7,3.7,0.72,5.2,3.3,2.5,0.3,2.2,3.5,15.1,saint marys ca,2022
6,7,Judah Brown,18.0,0.0,81.0,5.4,14.3,0.379,2.5,4.0,0.625,3.0,10.4,0.286,1.0,1.0,1.0,5.4,0.0,1.5,0.0,2.0,2.5,14.8,saint marys ca,2022
7,8,Alex Ducas,34.0,34.0,1013.0,4.8,11.7,0.409,2.1,4.9,0.439,2.6,6.8,0.387,1.6,2.0,0.82,5.0,1.2,1.3,0.3,1.5,2.2,13.8,saint marys ca,2022
8,9,Jabe Mullins,34.0,0.0,326.0,4.2,10.2,0.41,1.5,2.9,0.5,2.7,7.2,0.373,1.0,1.5,0.667,4.3,1.3,1.1,0.2,0.9,2.2,12.0,saint marys ca,2022
9,10,Luke Barrett,15.0,0.0,59.0,5.4,11.5,0.471,4.7,6.1,0.778,0.7,5.4,0.125,0.0,1.4,0.0,9.5,4.1,2.0,0.0,0.7,6.1,11.5,saint marys ca,2022
10,11,Augustas Marciulionis,34.0,13.0,513.0,2.7,8.7,0.304,1.8,4.1,0.442,0.9,4.7,0.183,2.0,2.4,0.839,2.6,4.8,2.3,0.2,4.1,3.6,8.2,saint marys ca,2022
11,12,Kyle Bowen,34.0,34.0,999.0,2.7,5.7,0.476,1.1,1.6,0.683,1.6,4.1,0.392,0.6,0.8,0.714,7.4,1.7,0.9,0.6,0.8,3.0,7.6,saint marys ca,2022
12,13,Quinn Clinton,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saint marys ca,2022
0,1,Daryl Banks,34.0,31.0,907.0,5.4,14.2,0.383,3.0,7.7,0.397,2.4,6.5,0.367,3.7,4.4,0.859,3.8,2.2,1.6,0.2,2.2,2.8,17.0,saint peters,2022
1,2,KC Ndefo,34.0,34.0,880.0,6.0,12.8,0.47,5.7,11.8,0.485,0.3,1.0,0.286,4.0,7.4,0.537,9.5,3.7,2.0,4.4,4.4,4.6,16.2,saint peters,2022
2,3,Doug Edert,33.0,7.0,790.0,4.6,10.2,0.453,2.3,4.5,0.506,2.3,5.7,0.411,4.4,4.9,0.887,4.2,1.5,0.9,0.2,1.2,2.1,15.9,saint peters,2022
3,4,Jaylen Murray,33.0,3.0,516.0,5.7,15.0,0.383,4.2,10.2,0.409,1.6,4.7,0.328,1.9,2.9,0.649,4.1,4.1,1.2,0.0,3.5,2.6,14.9,saint peters,2022
4,5,Clarence Rupert,30.0,7.0,402.0,5.4,11.6,0.462,5.2,10.6,0.486,0.2,1.0,0.2,2.2,4.2,0.524,7.9,2.0,1.2,1.3,1.9,5.3,13.1,saint peters,2022
5,6,Fousseyni Drame,33.0,9.0,749.0,4.8,8.6,0.553,4.1,6.8,0.602,0.6,1.8,0.364,2.2,3.6,0.627,11.3,1.2,1.0,1.0,1.9,5.1,12.4,saint peters,2022
6,7,Matthew Lee,30.0,25.0,712.0,3.4,10.4,0.323,1.8,5.8,0.311,1.6,4.7,0.337,3.1,4.2,0.747,3.0,4.9,1.1,0.2,3.0,3.0,11.5,saint peters,2022
7,8,Hassan Drame,34.0,25.0,724.0,4.3,8.5,0.5,3.8,7.1,0.531,0.5,1.4,0.346,2.3,3.1,0.737,9.9,1.4,1.6,0.7,2.4,5.4,11.3,saint peters,2022
8,9,Isiah Dasher,34.0,2.0,612.0,3.7,9.8,0.38,2.6,6.2,0.421,1.1,3.6,0.309,2.0,2.5,0.795,5.1,1.7,1.0,0.2,2.2,4.2,10.6,saint peters,2022
9,10,Oumar Diahame,25.0,18.0,229.0,3.8,6.6,0.579,3.8,6.5,0.595,0.0,0.2,0.0,0.5,0.9,0.6,8.7,0.2,2.6,2.8,0.7,5.2,8.2,saint peters,2022
10,11,Marty Silvera,19.0,1.0,165.0,3.2,10.4,0.302,2.2,7.0,0.31,1.0,3.4,0.286,0.7,1.0,0.75,5.8,2.2,2.2,0.2,4.4,4.6,8.0,saint peters,2022
11,12,Latrell Reid,20.0,8.0,164.0,1.2,4.9,0.25,1.2,4.1,0.294,0.0,0.7,0.0,1.0,2.0,0.5,4.6,3.4,2.4,0.0,1.2,3.7,3.4,saint peters,2022
0,1,Matt Bradley,32.0,32.0,1009.0,7.4,16.8,0.438,5.1,11.2,0.456,2.3,5.6,0.401,4.5,5.7,0.779,6.9,3.4,1.3,0.3,3.4,2.9,21.5,san diego state,2022
1,2,Chad Baker-Mazara,31.0,0.0,396.0,6.7,15.9,0.42,4.4,10.2,0.436,2.2,5.7,0.393,4.4,4.9,0.898,6.4,1.8,2.1,1.4,2.3,4.5,20.0,san diego state,2022
2,3,Keshad Johnson,32.0,32.0,761.0,4.6,8.4,0.553,4.3,6.6,0.651,0.3,1.7,0.182,2.5,3.8,0.644,7.6,1.7,1.1,1.1,1.9,2.0,12.0,san diego state,2022
3,4,Lamont Butler,27.0,25.0,686.0,4.1,10.4,0.391,2.7,6.4,0.431,1.3,4.1,0.329,2.0,2.6,0.773,3.3,3.3,2.7,0.2,3.1,3.9,11.5,san diego state,2022
4,5,Nathan Mensah,32.0,32.0,792.0,4.6,9.6,0.482,4.6,9.4,0.487,0.1,0.2,0.25,2.0,3.8,0.533,11.2,1.0,1.4,3.6,2.0,4.5,11.4,san diego state,2022
5,6,Trey Pulliam,31.0,31.0,959.0,4.3,10.8,0.395,3.4,8.1,0.415,0.9,2.6,0.333,1.8,2.7,0.677,3.3,4.4,1.4,0.2,2.8,3.3,11.2,san diego state,2022
6,7,Cade Alger,7.0,0.0,15.0,5.3,21.3,0.25,5.3,13.3,0.4,0.0,8.0,0.0,0.0,0.0,,5.3,0.0,5.3,2.7,2.7,2.7,10.7,san diego state,2022
7,8,Keith Dinwiddie,16.0,1.0,178.0,3.6,12.6,0.286,1.3,4.3,0.316,2.2,8.3,0.27,0.7,0.9,0.75,3.4,1.6,0.9,0.0,1.6,3.4,10.1,san diego state,2022
8,9,Tahirou Diabate,25.0,0.0,203.0,3.7,10.0,0.373,3.7,9.7,0.388,0.0,0.4,0.0,2.4,4.7,0.5,10.8,0.4,0.4,2.4,1.8,7.7,9.9,san diego state,2022
9,10,Aguek Arop,25.0,0.0,376.0,3.9,8.6,0.457,3.6,7.7,0.472,0.3,1.0,0.333,1.2,2.7,0.44,8.7,1.4,2.7,0.7,2.2,3.8,9.4,san diego state,2022
10,11,Joshua Tomaic,31.0,0.0,385.0,3.2,7.0,0.463,2.1,4.1,0.513,1.1,2.9,0.393,1.7,2.3,0.727,6.3,1.2,0.7,1.2,2.6,4.7,9.2,san diego state,2022
11,12,Adam Seiko,29.0,7.0,682.0,2.9,7.1,0.413,0.7,1.6,0.444,2.2,5.5,0.404,0.9,1.3,0.682,3.3,1.6,0.9,0.0,1.4,1.7,9.0,san diego state,2022
12,13,Jared Barnett,8.0,0.0,18.0,4.4,8.9,0.5,4.4,8.9,0.5,0.0,0.0,,0.0,0.0,,4.4,2.2,2.2,0.0,2.2,0.0,8.9,san diego state,2022
13,14,Triston Broughton,4.0,0.0,7.0,0.0,22.9,0.0,0.0,17.1,0.0,0.0,5.7,0.0,0.0,0.0,,5.7,5.7,0.0,0.0,0.0,11.4,0.0,san diego state,2022
14,15,Tyler Broughton,5.0,0.0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.0,5.0,5.0,0.0,5.0,0.0,0.0,san diego state,2022
0,1,Ndewedo Newbury,11.0,0.0,23.0,10.4,10.4,1.0,8.7,8.7,1.0,1.7,1.7,1.0,10.4,15.7,0.667,8.7,1.7,1.7,3.5,5.2,0.0,33.0,san francisco,2022
1,2,Yauhen Massalski,32.0,32.0,869.0,8.4,14.1,0.596,8.3,13.7,0.607,0.1,0.4,0.222,2.9,5.7,0.512,13.9,2.3,0.8,3.2,3.5,4.5,19.8,san francisco,2022
2,3,Jamaree Bouyea,34.0,34.0,1230.0,7.1,15.2,0.47,4.8,8.8,0.544,2.3,6.4,0.367,2.5,3.3,0.755,5.5,4.4,2.0,0.9,2.5,1.6,19.1,san francisco,2022
3,4,Khalil Shabazz,34.0,34.0,1020.0,6.2,16.2,0.383,3.1,7.2,0.432,3.1,9.0,0.345,2.8,3.3,0.845,4.3,2.8,2.3,0.0,2.1,3.0,18.3,san francisco,2022
4,5,Gabe Stefanini,34.0,34.0,834.0,5.4,12.4,0.432,3.0,5.7,0.521,2.4,6.7,0.357,2.4,3.0,0.79,4.1,3.4,1.7,0.0,3.4,3.3,15.5,san francisco,2022
5,6,Julian Rishwain,34.0,0.0,654.0,4.9,11.1,0.44,1.5,3.3,0.463,3.4,7.8,0.43,2.2,2.9,0.766,6.2,1.5,1.3,0.1,1.8,3.7,15.4,san francisco,2022
6,7,Zane Meeks,27.0,0.0,378.0,4.8,13.5,0.352,1.4,3.0,0.464,3.4,10.6,0.32,1.5,2.2,0.667,6.5,1.9,0.3,1.1,1.3,4.6,14.4,san francisco,2022
